date,reg,dep,arr,off,on,block,air,ldg,id
08/05/2018,OH-DBS,EFLA,EFLA,08:39,10:05,1:26,1:16,3,9831
08/05/2018,OH-DBS,EFLA,EFLA,10:53,11:42,0:49,0:40,4,9832
10/05/2018,OH-DBS,EFLA,EFLA,09:15,10:27,1:12,1:03,4,9843
10/05/2018,OH-DBS,EFLA,EFLA,13:46,14:45,0:59,0:53,4,9852
16/06/2018,OH-GKT,Kahvisaari,Vääksy,08:22,09:05,0:43,0:28,5,10035
16/06/2018,OH-GKT,Vääksy,Hanasaari,09:39,10:48,1:09,1:00,1,10036
16/06/2018,OH-GKT,Hanasaari,Hiidenvesi,11:13,11:55,0:42,0:33,1,10122
16/06/2018,OH-GKT,Hiidenvesi,Kahvisaari,12:14,13:04,0:50,0:43,1,10123
25/06/2018,OH-GKT,Kahvisaari,Kahvisaari,14:46,15:44,0:58,0:46,10,10124
04/07/2018,OH-GKT,Kahvisaari,Kahvisaari,14:53,16:05,1:12,1:00,6,10241
29/07/2018,OH-GKT,Salonsaari,Leikonranta,15:25,16:59,1:34,1:20,1,10365
30/07/2018,OH-GKT,Leikonranta,Sulkava,07:07,07:28,0:21,0:10,1,10366
30/07/2018,OH-GKT,Sulkava,Leikonranta,12:59,13:15,0:16,0:07,1,10367
30/07/2018,OH-GKT,Leikonranta,Kahvisaari,16:14,17:35,1:21,1:12,1,10368
17/08/2018,OH-GKT,kahvisaari,kelvenne,07:40,08:24,0:44,0:34,7,10527
17/08/2018,OH-GKT,kelvenne,kahvisaari,11:37,12:15,0:38,0:32,5,10528
24/08/2018,OH-GKT,kahvisaari,kahvisaari,07:40,08:49,1:09,0:56,7,10590
16/09/2018,OH-GKT,Kahvisaari,kelvenne,10:15,10:42,0:27,0:19,1,10766
16/09/2018,OH-GKT,Kelvenne,Kahvisaari,11:58,12:33,0:35,0:22,3,10767
04/04/2019,OH-PIF,EFLA,EFLA,09:45,10:53,1:08,1:00,1,11448
04/04/2019,OH-PIF,EFLA,EFLA,11:33,12:36,1:03,0:56,1,11449
18/04/2019,OH-PIF,EFLA,EFLA,08:47,10:10,1:23,1:13,1,11497
18/04/2019,OH-PIF,EFLA,EFLA,10:54,11:56,1:02,0:55,1,11498
14/05/2019,OH-PIF,EFLA,EFUT,14:04,15:03,0:59,0:50,1,11689
14/05/2019,OH-PIF,EFUT,EFLA,15:35,16:56,1:21,1:17,1,11690
29/05/2019,OH-PIF,EFLA,EFTP,09:46,11:12,1:26,1:16,1,11953
29/05/2019,OH-PIF,EFTP,EFLA,11:23,12:19,0:56,0:46,1,11954
06/06/2019,OH-GKT,Kahvisaari,Kelvenne,10:10,10:43,0:33,0:22,4,12051
06/06/2019,OH-GKT,Kelvenne,Kahvisaari,11:02,11:50,0:48,0:40,10,12052
14/06/2019,OH-PIF,EFLA,EFLA,08:55,10:48,1:53,1:43,1,12171
28/06/2019,OH-PIF,EFLA,EFHA,09:38,10:58,1:20,1:10,1,12331
28/06/2019,OH-PIF,EFHA,EFLA,11:23,12:23,1:00,0:53,1,12332
04/07/2019,OH-GKT,Kahvisaari,Kuohijärvi,12:03,12:39,0:36,0:30,3,12399
04/07/2019,OH-GKT,Kuohijärvi,Kahvisaari,12:58,13:40,0:42,0:30,4,12400
23/07/2019,OH-PIF,EFLA,EFLA,11:21,13:24,2:03,1:54,1,12753
01/08/2019,OH-PIF,EFLA,EFTU,14:05,15:30,1:25,1:14,1,12942
01/08/2019,OH-PIF,EFTU,EFMA,16:32,17:44,1:12,1:04,1,12943
02/08/2019,OH-PIF,EFMA,ESSP,07:28,09:06,1:38,1:30,1,12947
02/08/2019,OH-PIF,ESSP,EFMA,12:04,14:17,2:13,1:59,1,12948
02/08/2019,OH-PIF,EFMA,EFTU,14:53,15:57,1:04,0:59,1,12949
10/08/2019,OH-GKT,Kahvisaari,Kelvenne,12:16,12:47,0:31,0:23,2,13215
10/08/2019,OH-GKT,Kelvenne,Kahvisaari,14:32,15:04,0:32,0:23,4,13216
22/08/2019,OH-PIF,EFLA,EFJY,10:18,12:13,1:55,1:46,1,13347
22/08/2019,OH-PIF,EFJY,EFLA,12:42,13:42,1:00,0:52,1,13348
03/09/2019,OH-PIF,EFLA,EFLA,09:26,11:21,1:55,1:49,1,13537
05/09/2019,OH-PIF,EFLA,EFLA,09:04,11:49,2:45,2:37,1,13565
17/09/2019,OH-PIF,EFLA,EFLP,08:46,09:59,1:13,1:01,1,13618
17/09/2019,OH-PIF,EFLP,EFLA,10:18,11:26,1:08,0:57,1,13619
19/09/2019,OH-PIF,EFLA,EFTP,09:47,11:19,1:32,1:19,1,13629
19/09/2019,OH-PIF,EFTP,EFLA,12:18,13:42,1:24,1:18,1,13630
27/09/2019,OH-PIF,EFLA,EFJY,09:28,11:13,1:45,1:34,1,13700
27/09/2019,OH-PIF,EFJY,EFLA,11:59,13:35,1:36,1:27,1,13701
27/09/2019,OH-PIF,EFLA,EFLA,14:22,15:11,0:49,0:40,1,13702
03/10/2019,OH-PIF,EFHA,EFHA,10:23,11:07,0:44,0:30,1,13740
03/10/2019,OH-PIF,EFHA,EFJY,11:11,12:51,1:40,1:31,2,13741
22/04/2020,OH-PIF,EFLA,EFLA,12:56,14:51,1:55,1:47,1,14505
30/05/2020,OH-PIF,EFLA,EFLA,10:53,12:46,1:53,1:44,2,15017
