id,Logbook type,Päivämäärä,Tunnus,Tyyppi,Lähtökenttä,Laskukenttä,Off Block,Lähtöaika,Laskuaika,On Block,Takeoff-landing flight time,Block flight time,Laskuja päivällä,Laskuja yöllä,Pilot config,Engine config,Yölentoaika,Mittarilentoaika,PIC,Copilot,Opettaja,Oppilas,Lähtötapa,Irroituskorkeus,Max korkeus,Matka km,Moott.p.,Lentotyyppi,Omat muistiinpanot
72256,easa,25.07.2026,OH-TIL,Piper PA-28-161,EFTP,EFTP,06:56,07:05,07:58,08:04,53,68,3,0,1,1,0,68,1,,,,,,,,,HARJOITUS,
70897,easa,29.06.2026,OH-CAM,C172,EFHV,EFHV,19:02,19:12,19:28,19:30,16,28,1,0,1,1,0,0,1,,,,,,,,,HAR,
69061,easa,15.05.2026,OH-CTL,C172M,EFRY,Tuusula,16:36,16:43,17:10,17:16,27,40,2,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
68154,easa,12.04.2026,OH-CAM,C172,EFHV,EFHV,09:58,10:10,12:08,12:10,118,132,3,0,1,1,0,0,1,,,,,,,,,MAT,
67312,easa,26.01.2026,OH-CAM,C172,EFHV,EFHV,12:50,12:59,14:00,14:02,61,72,3,0,1,1,0,0,1,,,,,,,,,HAR,
67265,easa,01.01.2026,OH-CMU,C152,EFHV,EFHV,13:54,14:00,14:24,14:26,24,32,4,0,1,1,0,0,1,,,,,,,,,HAR,
67180,easa,12.12.2025,OH-CAM,C172,EFHV,EFHV,18:42,18:50,19:21,19:22,31,40,0,3,1,1,0,0,1,,,,,,,,,MAT,
66895,easa,20.10.2025,OH-CAM,C172,EFHV,EFHV,12:52,12:57,13:45,13:46,48,54,2,0,1,1,0,0,1,,,,,,,,,HAR,
66399,easa,30.09.2025,OH-CTL,C172M,Tuusula,EFRY,15:02,15:13,15:39,15:42,26,40,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
66274,easa,28.09.2025,OH-CTL,C172M,Tuusula,Tuusula,11:02,11:11,12:00,12:10,49,68,6,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
66065,easa,19.09.2025,OH-CTL,C172M,Tuusula,Pyhäjärvi,14:58,15:10,15:49,15:55,39,57,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
66066,easa,19.09.2025,OH-CTL,C172M,Kahvisaari,Tuusula,17:40,17:44,18:12,18:15,28,35,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
65575,easa,10.09.2025,OH-CTL,C172M,Tuusula,Vuolenkoski,11:07,11:14,11:53,12:00,39,53,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
65576,easa,10.09.2025,OH-CTL,C172M,Vuolenkoski,Tuusula,14:24,14:35,15:13,15:20,38,56,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
